,Code,Title,Points1,Points2,Mid-point,Year
649,GY115,Arts with Performing Arts Studies,387,,443,2020
650,GY118,"Arts (Drama, Theatre and Performance Studies)",451,,492,2020
651,GY119,Arts (Journalism),400,,465,2020
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,,397,2020
653,GY121,Arts (Children`s Studies),356,,419,2020
654,GY122,Na Dána (Cumarsáid agus Gaeilge),361,,453,2020
655,GY123,Applied Social Sciences,358,,410,2020
656,GY124,Arts (Arts with Data Science),454,,490,2020
657,GY125,Arts (Digital Arts and Technology),328,,347,2020
658,GY126,Arts (English and Media Studies),391,,462,2020
659,GY127,Arts (Film and Digital Media),401,,462,2020
660,GY128,Arts (Global Languages),352,,476,2020
661,GY129,Arts (International),420,,462,2020
662,GY130,Arts (Music),408,,495,2020
663,GY131,Arts (History and Globalisation Studies),360,,440,2020
664,GY132,"Government (Politics, Economics and Law)",407,,435,2020
665,GY133,Education (Computer Science and Mathematical Studies),422,,498,2020
666,GY134,Geography and Geosystems,410,,445,2020
667,GY201,Commerce,433,,466,2020
668,GY202,Commerce (International) with French,484,,511,2020
669,GY203,Commerce (International) with German,489,,566,2020
670,GY204,Commerce (International) with Spanish,495,,511,2020
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,,488,2020
672,GY207,Commerce (Accounting) including optional Global Experience year,509,,543,2020
673,GY208,Commerce (Gaeilge),473,,511,2020
674,GY209,Commerce (Global Experience),530,,554,2020
675,GY250,Law and Business,487,,510,2020
676,GY251,Law (BCL),499,,518,2020
677,GY252,Law (BCL) and Human Rights,520,,541,2020
678,GY253,Law and Taxation,509,,543,2020
679,GY254,"Law (BCL), Criminology and Criminal Justice",530,,554,2020
680,GY261,"Business Studies (International Hotel Management, interview)",497,,611,2020
681,GY262,"Commerce (International Hotel Management, interview)",681,,724,2020
682,GY301,Science,433,432,487,2020
683,GY303,Biomedical Science,556,,589,2020
684,GY304,Biotechnology,465,,498,2020
685,GY308,Environmental Science,408,,484,2020
686,GY309,Financial Mathematics and Economics,487,,532,2020
687,GY310,Marine Science,419,,476,2020
688,GY313,Environmental Health and Safety,412,,440,2020
689,GY314,Earth and Ocean Sciences,403,,444,2020
690,GY318,Biopharmaceutical Chemistry,509,,542,2020
691,GY319,Mathematical Science,476,,566,2020
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,,478,2020
693,GY321,Genetics and Genomics,508,,532,2020
694,GY350,Computer Science and Information Technology,403,,454,2020
695,GY401,Engineering (Undenominated),465,,511,2020
696,GY402,Civil Engineering,455,,499,2020
697,GY405,Mechanical Engineering,454,,509,2020
698,GY406,Electronic and Computer Engineering,510,,544,2020
699,GY408,Biomedical Engineering,509,,554,2020
700,GY410,Project and Construction Management,403,,456,2020
701,GY413,Energy Systems Engineering,502,,531,2020
702,GY414,Electrical and Electronic Engineering,405,,429,2020
703,GY501,"Medicine (five year/six year course, HPAT required)",728,,731,2020
704,GY502,Occupational Therapy,555,,567,2020
705,GY503,Speech and Language Therapy,543,,554,2020
706,GY504,Podiatric Medicine,443,,476,2020
707,GY515,General Nursing (Galway and Portiuncula),476,473,496,2020
708,GY516,Mental Health Nursing,440,,467,2020
709,GY517,Midwifery,495,,518,2020
710,ID001,Accounting and Finance,203,,253,2020
711,ID002,Business Studies,294,,309,2020
712,LC110,"Art and Design (Common Entry, portfolio)",740,,961,2020
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880,,1029,2020
714,LC115,Art and Design Teacher Education (portfolio),942,,1013,2020
715,LC220,Digital Marketing,262,,298,2020
718,LC223,Law and Taxation,307,,356,2020
719,LC224,Accounting and Finance,300,,371,2020
720,LC225,Marketing and Management,298,,358,2020
721,LC226,Enterprise and Innovation,234,234,310,2020
724,LC233,Software Development,272,,339,2020
725,LC234,Interactive Digital Media,225,,307,2020
727,LC236,Internet Systems Development,262,260,272,2020
728,LC239,Computer Networks and Systems Management,307,,371,2020
729,LC241,Construction Management,255,,338,2020
730,LC242,Property Valuation and Management,282,,320,2020
731,LC243,Quantity Surveying,294,,362,2020
732,LC248,Built Environment (Common Entry),288,,376,2020
734,LC252,Civil Engineering Management,270,,308,2020
737,LC263,Clinical Technology,294,,359,2020
738,LC265,Forensic and Pharmaceutical Sciences,413,,476,2020
739,LC266,Drug and Medicinal Product Analysis,262,,300,2020
744,LC275,Electrical Engineering,298,,384,2020
754,LC288,Mechanical Engineering,347,346,415,2020
755,LC289,Precision Engineering,291,,350,2020
