COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
GA782,Chemical and Pharmaceutical Science,336,388
GA783,Physics and Instrumentation,363,408
GA784,Science (Undenominated),372,403
GA785,Medical Science,473,500
GA786,Forensic Science and Analysis,317,387
GA787,Computing in Software Development,270,315
GA788,Computing and Digital Media,282,356
GA789,Agriculture and Environmental Management,289,371
GA790,Sport and Exercise Science,356,409
GA791,Public Health Nutrition,368,409
GA880,General Nursing,422,441
GA882,Psychiatric Nursing,367,377
GA885,Outdoor Education,252,262
GA887,History and Geography,244,380
GA889,Applied Social Care,266,298
GA890,Early Childhood Education and Care,270,327
GA891,Geography and Outdoor Education,244,391
GA980,Education (Design Graphics and Construction),377,411
GA984,"Furniture Design, Making and Technology - Common Entry",284,369
GC200,Business Studies,252,369
GC201,Accounting and Finance,303,388
GC230,Computing Science,325,393
GC250,Communications and Media Production,,
GC300,Business Studies,390,432
GC301,Accounting & Finance,253,346
GC302,Business Studies - HRM,,
GC305,International Hospitality Management,253,253
GC400,Business Studies,248,281
GC401,Accounting and Finance,202,343
GC402,Business Studies (HRM),218,236
GC403,Law,228,328
GC407,Business Studies (Marketing),218,321
GC430,Computing Science,220,298
GC450,Communications and Media Production,254,280
GC462,Design Communication (portfolio),,
GC489,Interior Architecture (portfolio),254,301
GC494,Fashion Design (portfolio),217,412
GY101,Arts (Joint-Honours),300,391
GY104,Arts (Psychology),519,542
GY105,Arts (History),301,377
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,456
GY109,Arts (Mathematics and Education),403,466
GY110,Arts with Children`s Studies,357,418
GY111,Arts with Creative Writing,330,492
GY112,Arts with Film Studies,321,399
GY113,Arts with Human Rights,368,422
GY115,Arts with Performing Arts Studies,387,443
GY118,"Arts (Drama, Theatre and Performance Studies)",451,492
GY119,Arts (Journalism),400,465
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,397
GY121,Arts (Children`s Studies),356,419
GY122,Na Dána (Cumarsáid agus Gaeilge),361,453
GY123,Applied Social Sciences,358,410
GY124,Arts (Arts with Data Science),454,490
GY125,Arts (Digital Arts and Technology),328,347
GY126,Arts (English and Media Studies),391,462
GY127,Arts (Film and Digital Media),401,462
GY128,Arts (Global Languages),352,476
GY129,Arts (International),420,462
GY130,Arts (Music),408,495
GY131,Arts (History and Globalisation Studies),360,440
GY132,"Government (Politics, Economics and Law)",407,435
GY133,Education (Computer Science and Mathematical Studies),422,498
GY134,Geography and Geosystems,410,445
GY201,Commerce,433,466
GY202,Commerce (International) with French,484,511
GY203,Commerce (International) with German,489,566
GY204,Commerce (International) with Spanish,495,511
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,488
GY207,Commerce (Accounting) including optional Global Experience year,509,543
GY208,Commerce (Gaeilge),473,511
GY209,Commerce (Global Experience),530,554
GY250,Law and Business,487,510
GY251,Law (BCL),499,518
GY252,Law (BCL) and Human Rights,520,541
GY253,Law and Taxation,509,543
GY254,"Law (BCL), Criminology and Criminal Justice",530,554
GY261,"Business Studies (International Hotel Management, interview)",497,611
GY262,"Commerce (International Hotel Management, interview)",681,724
GY301,Science,432,487
GY303,Biomedical Science,556,589
GY304,Biotechnology,465,498
GY308,Environmental Science,408,484
GY309,Financial Mathematics and Economics,487,532
GY310,Marine Science,419,476
GY313,Environmental Health and Safety,412,440
GY314,Earth and Ocean Sciences,403,444
GY318,Biopharmaceutical Chemistry,509,542
GY319,Mathematical Science,476,566
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,478
GY321,Genetics and Genomics,508,532
GY350,Computer Science and Information Technology,403,454
GY401,Engineering (Undenominated),465,511
GY402,Civil Engineering,455,499
GY405,Mechanical Engineering,454,509
GY406,Electronic and Computer Engineering,510,544
GY408,Biomedical Engineering,509,554
GY410,Project and Construction Management,403,456
GY413,Energy Systems Engineering,502,531
GY414,Electrical and Electronic Engineering,405,429
GY501,"Medicine (five year/six year course, HPAT required)",728,731
GY502,Occupational Therapy,555,567
GY503,Speech and Language Therapy,543,554
GY504,Podiatric Medicine,443,476
GY515,General Nursing (Galway and Portiuncula),473,496
GY516,Mental Health Nursing,440,467
GY517,Midwifery,495,518
