Code,Title,Points1_2019,Points2_2019,Mid_2019,Points1_2020,Points2_2020,Mid_2020,Points1_2021,Points2_2021,Mid_2021
DC113,Global Business (Germany),440,,476,462,,496.0,484,,529.0
DC114,Global Business (Spain),501,,543,522,,545.0,544,,562.0
DC115,Accounting and Finance,487,,500,510,,544.0,544,,578.0
DC116,Global Business (USA),578,,589,579,,601.0,613,,625.0
DC117,Aviation Management / Aviation Management with Pilot Studies,463,,487,476,475,500.0,484,,520.0
DC118,Gnó agus Gaeilge / Business and Irish,357,,399,359,,429.0,368,,419.0
DC119,Global Business (Canada),566,,577,564,,577.0,601,,601.0
DC120,Enterprise Computing,350,,389,357,,392.0,403,402.0,440.0
DC121,Computer Applications,370,,418,400,,455.0,475,,498.0
DC123,Data Science,467,,511,465,,531.0,501,,542.0
DC126,Actuarial Mathematics,520,,543,560,,578.0,577,,601.0
DC127,Common Entry into Actuarial and Financial Mathematics,509,,531,532,520,543.0,541,,566.0
DC131,Communication Studies,400,,441,407,402,451.0,421,,479.0
DC132,Journalism,401,,440,429,422,466.0,452,,487.0
DC133,Multimedia,403,,451,411,410,451.0,435,,473.0
DC155,Applied Language and Translation Studies,371,,430,387,,444.0,427,,476.0
DC161,Analytical Science,446,,463,498,489,510.0,498,,521.0
DC162,Chemical and Pharmaceutical Sciences,488,,498,521,,544.0,531,,543.0
DC163,Chemical Sciences General Entry (Undenominated Entry),,,,,,,466,,510.0
DC166,Environmental Science and Technology,412,,442,433,399,441.0,423,,466.0
DC167,Physics with Astronomy,434,,477,,,,,,
DC168,Genetics and Cell Biology,489,,500,512,510,529.0,543,,555.0
DC171,Applied Physics,402,,433,,,,,,
DC173,Physics with Biomedical Sciences,402,,458,,,,,,
DC175,Physics General Entry (options),,,,419,402,467.0,400,,479.0
DC180,Biological Sciences General Entry (Undenominated Entry),,,,,,,530,,543.0
DC181,Biotechnology,476,,488,499,495,511.0,530,,544.0
DC190,Electronic and Computer Engineering (with choice of four majors),391,,433,413,,465.0,488,,532.0
DC193,Mechatronic Engineering,404,,445,411,,487.0,490,,532.0
DC194,Sustainable Systems and Energy,,,,,,,476,,509.0
DC195,Mechanical and Manufacturing Engineering,401,,444,425,,487.0,500,,521.0
DC197,Biomedical Engineering,402,,446,423,,477.0,510,,543.0
DC200,Common Entry into Engineering (Undenominated Entry),381,,444,422,,487.0,511,510.0,543.0
DC201,Common Entry into Science (Undenominated Entry),454,,477,498,488,499.0,,,
DC202,Sport Science and Health,467,,476,500,498,521.0,511,,532.0
DC203,Science Education,424,,476,435,,487.0,462,,509.0
DC204,Athletic Therapy and Training,484,,500,522,519,533.0,558,,578.0
DC205,Physical Education with Biology,490,,521,531,,553.0,565,,578.0
DC206,Physical Education with Mathematics,443,,476,499,,520.0,521,,544.0
DC207,Psychology and Mathematics,,,,,,,521,,543.0
DC208,Psychology,509,,521,532,521,533.0,565,,577.0
DC209,Health and Society,419,,440,465,440,466.0,477,,509.0
DC210,Psychology and Disruptive Technologies,,,,,,,506,,532.0
DC215,General Nursing,414,,443,454,433,462.0,456,,485.0
DC216,Mental Health Nursing,368,,389,418,403,424.0,420,,440.0
DC217,Intellectual Disability Nursing,347,,362,370,,390.0,382,,402.0
DC218,Children`s and General Nursing (Integrated),467,,480,500,498,522.0,521,,554.0
DC230,"Economics, Politics and Law",400,,431,435,,462.0,431,,468.0
DC231,International Relations,387,,445,397,,433.0,398,,458.0
DC232,Law and Society (BCL),453,,487,466,,496.0,469,,511.0
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),307,,327,309,,357.0,302,,370.0
DC238,Social Sciences and Cultural Innovation,358,,388,377,,411.0,387,,440.0
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,,430,,473.0,,,
DC240,"Marketing, Innovation and Technology",451,,474,476,474,498.0,499,,532.0
DC241,Digital Business and Innovation,,,,,,,509,,533.0
DC291,Arts (Joint Honours) - Media Studies,349,,392,376,,409.0,350,,440.0
DC292,Arts (Joint Honours) - Law,356,,388,403,,430.0,400,,440.0
DC293,Arts (Joint Honours) - International Languages,369,,400,377,,466.0,379,,467.0
DC294,Climate and Environmental Sustainability,,,,,,,475,,489.0
DC295,Arts (Joint Honours) - Politics,348,,387,376,,409.0,349,,409.0
DK810,Accounting and Finance,306,,391,305,305,401.0,307,307.0,399.0
DK816,Business Studies,300,,357,300,300,367.0,301,301.0,382.0
DK820,Computing in Games Development,307,,369,311,311,348.0,309,309.0,381.0
DK821,Computing in Software Development,301,,347,302,302,361.0,320,316.0,379.0
DK822,Augmented and Virtual Reality,,,,307,,380.0,320,320.0,340.0
DK830,Building Surveying,302,,349,336,,352.0,305,,378.0
DK831,Architectural Technology,301,,366,389,,433.0,368,314.0,377.0
DK832,Construction Management,300,,329,387,,419.0,358,305.0,362.0
DK843,Engineering (Common Entry),303,,402,340,340,439.0,404,391.0,466.0
DK844,Mechanical Engineering,,,,305,305,448.0,336,336.0,435.0
DK845,Electrical & Electronic Engineering,,,,304,304,392.0,331,331.0,434.0
DK846,Civil Engineering,,,,391,361,392.0,371,371.0,465.0
DK850,International Tourism Management,,,,317,317,377.0,303,303.0,417.0
DK860,Music (audition),499,,649,532,532,634.0,,,
DK861,Arts,300,,358,302,302,363.0,302,302.0,347.0
DK862,Social Care,300,,338,301,,347.0,322,319.0,348.0
DK863,Creative Media,300,,376,308,308,337.0,336,320.0,432.0
DK864,Film and Television Production,300,,332,300,300,402.0,308,,399.0
DK865,Audio and Music Production,301,,346,301,,367.0,352,,404.0
DK870,General Nursing,392,,401,403,401,419.0,440,440.0,451.0
DK872,Intellectual Disability Nursing,300,,317,336,,358.0,367,366.0,368.0
DK874,Mental Health Nursing,356,,378,356,,379.0,398,,414.0
DK876,Early Childhood Studies,305,,359,321,,388.0,300,300.0,357.0
DK877,Midwifery,398,,441,440,,470.0,482,477.0,495.0
DK880,Health and Physical Activity,300,,367,328,,389.0,301,301.0,397.0
DK882,Agriculture (Award options),303,,358,310,,380.0,342,,402.0
DK883,Science (Award options),300,,369,358,321,370.0,373,368.0,384.0
DK884,Sustainable Agriculture,,,,,,,348,,397.0
DK885,Agri-Food Production,,,,,,,,,0.0
DK886,Biopharmaceutical Science,,,,301,,338.0,379,,388.0
DK887,Environmental Science,,,,330,,589.0,377,,440.0
DL821,"English, Media and Cultural Studies",211,,317,212,212,347.0,,,
DL822,Arts Management,209,,319,229,229,337.0,254,,356.0
DL823,Business Management,260,,316,235,,325.0,220,,318.0
DL825,Applied Psychology,349,,413,379,,434.0,418,413.0,462.0
DL826,Graphic Design,736,,989,855,,1024.0,591,,824.0
DL827,Art,583,,902,572,,941.0,574,,906.0
DL828,"3D Design, Modelmaking and Digital Art",691,,866,506,,920.0,,,
DL829,Design for Stage and Screen (Costume Design),817,,1021,593,,947.0,,,
DL830,Design for Stage and Screen (Makeup Design),879,,953,939,,968.0,,,
DL831,Design for Stage and Screen (Production Design),893,,1073,781,,1026.0,,,
DL832,Animation,855,,1055,920,,1022.0,989,,1098.0
DL833,Photography and Visual Media,636,,791,650,,854.0,671,671.0,877.0
DL834,Film and Television Production,933,,1011,990,,1040.0,,,
DL835,Creative Media Technologies,237,,289,,,,,,
DL836,Creative Computing,217,,326,219,,300.0,235,,339.0
DL837,New Media Studies,290,,349,201,,316.0,298,293.0,359.0
DL838,Creative Music Production,746,,873,754,,972.0,713,,979.0
DL839,Interaction and User Experience Design,,,,683,683,990.0,757,,1087.0
DL840,Digital Marketing,,,,228,228,327.0,210,,347.0
DL841,English and Equality Studies,,,,276,,341.0,277,277.0,357.0
DL843,Film,,,,,,,987,874.0,1000.0
DL844,Television,,,,,,,566,,947.0
DL845,Design for Film (degree options),,,,,,,628,,900.0
DN100,Architecture,473,,509,510,,541.0,555,,577.0
DN120,Landscape Architecture,353,,403,407,,453.0,463,435.0,484.0
DN130,City Planning and Environmental Policy,367,,421,407,400,432.0,445,424.0,474.0
DN150,Engineering (Common Entry),511,,554,531,521,565.0,565,,601.0
DN200,Science (options),521,,554,533,,567.0,577,567.0,589.0
DN201,Computer Science (Common Entry),488,,509,510,,542.0,554,549.0,558.0
DN230,Actuarial and Financial Studies,577,,589,601,,613.0,613,613.0,625.0
