Code,Title,Points1,Points2,Year,Duplicate?
DC216,Mental Health Nursing,368,389,2019,0
DC217,Intellectual Disability Nursing,347,362,2019,0
DC218,Children`s and General Nursing (Integrated),467,480,2019,0
DC230,"Economics, Politics and Law",400,431,2019,0
DC231,International Relations,387,445,2019,0
DC232,Law and Society (BCL),453,487,2019,0
DC235,Education and Training - Daytime Delivery Mode (full-time),307,327,2019,0
DC238,Social Sciences and Cultural Innovation,358,388,2019,0
DC240,"Marketing, Innovation and Technology",451,474,2019,0
DC291,Arts (Joint Honours) - Media Studies,349,392,2019,0
DC292,Arts (Joint Honours) - Law,356,388,2019,0
DC293,Arts (Joint Honours) - International Languages,369,400,2019,0
DC295,Arts (Joint Honours) - Politics,348,387,2019,0
DK810,Accounting and Finance,306,391,2019,0
DK816,Business Studies,300,357,2019,0
DK820,Computing in Games Development,307,369,2019,0
DK821,Computing in Software Development,301,347,2019,0
DK830,Building Surveying,302,349,2019,0
DK831,Architectural Technology,301,366,2019,0
DK832,Construction Management,300,329,2019,0
DK843,Engineering (Common Entry),303,402,2019,0
DK860,Music,499,649,2019,0
DK861,Arts,300,358,2019,0
DK862,Social Care,300,338,2019,0
DK863,Creative Media,300,376,2019,0
DK864,Film and Television Production,300,332,2019,0
DK865,Audio and Music Production,301,346,2019,0
DK870,General Nursing,392,401,2019,0
DK872,Intellectual Disability Nursing,300,317,2019,0
DK874,Mental Health Nursing,356,378,2019,0
DK876,Early Childhood Studies,305,359,2019,0
DK877,Midwifery,398,441,2019,0
DK880,Health and Physical Activity,300,367,2019,0
DK882,Agriculture (Award options),303,358,2019,0
DK883,Science (Award options),300,369,2019,0
DL821,"English, Media and Cultural Studies",211,317,2019,0
DL822,Arts Management,209,319,2019,0
DL823,Business Studies - Entrepreneurship and Management,260,316,2019,0
DL825,Applied Psychology,349,413,2019,0
DL826,Visual Communication Design,736,989,2019,0
DL827,Art,583,902,2019,0
DL828,"3D Design, Modelmaking and Digital Art",691,866,2019,0
DL829,Design for Stage and Screen (Costume Design),817,1021,2019,0
DL830,Design for Stage and Screen (Makeup Design),879,953,2019,0
DL831,Design for Stage and Screen (Production Design),893,1073,2019,0
DL832,Animation,855,1055,2019,0
