Code,Title,Points1,Points2,Year
GY122,Na Dána (Cumarsáid agus Gaeilge),361,453,2020
GY123,Applied Social Sciences,358,410,2020
GY124,Arts (Arts with Data Science),454,490,2020
GY125,Arts (Digital Arts and Technology),328,347,2020
GY126,Arts (English and Media Studies),391,462,2020
GY127,Arts (Film and Digital Media),401,462,2020
GY128,Arts (Global Languages),352,476,2020
GY129,Arts (International),420,462,2020
GY130,Arts (Music),408,495,2020
GY131,Arts (History and Globalisation Studies),360,440,2020
GY132,"Government (Politics, Economics and Law)",407,435,2020
GY133,Education (Computer Science and Mathematical Studies),422,498,2020
GY134,Geography and Geosystems,410,445,2020
GY201,Commerce,433,466,2020
GY202,Commerce (International) with French,484,511,2020
GY203,Commerce (International) with German,489,566,2020
GY204,Commerce (International) with Spanish,495,511,2020
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,488,2020
GY207,Commerce (Accounting) including optional Global Experience year,509,543,2020
GY208,Commerce (Gaeilge),473,511,2020
GY209,Commerce (Global Experience),530,554,2020
GY250,Law and Business,487,510,2020
GY251,Law (BCL),499,518,2020
GY252,Law (BCL) and Human Rights,520,541,2020
GY253,Law and Taxation,509,543,2020
GY254,"Law (BCL), Criminology and Criminal Justice",530,554,2020
GY261,"Business Studies (International Hotel Management, interview)",497,611,2020
GY262,"Commerce (International Hotel Management, interview)",681,724,2020
GY301,Science,432,487,2020
GY303,Biomedical Science,556,589,2020
GY304,Biotechnology,465,498,2020
GY308,Environmental Science,408,484,2020
GY309,Financial Mathematics and Economics,487,532,2020
GY310,Marine Science,419,476,2020
GY313,Environmental Health and Safety,412,440,2020
GY314,Earth and Ocean Sciences,403,444,2020
GY318,Biopharmaceutical Chemistry,509,542,2020
GY319,Mathematical Science,476,566,2020
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,478,2020
GY321,Genetics and Genomics,508,532,2020
GY350,Computer Science and Information Technology,403,454,2020
GY401,Engineering (Undenominated),465,511,2020
GY402,Civil Engineering,455,499,2020
GY405,Mechanical Engineering,454,509,2020
GY406,Electronic and Computer Engineering,510,544,2020
GY408,Biomedical Engineering,509,554,2020
GY410,Project and Construction Management,403,456,2020
GY413,Energy Systems Engineering,502,531,2020
GY414,Electrical and Electronic Engineering,405,429,2020
GY501,"Medicine (five year/six year course, HPAT required)",728,731,2020
GY502,Occupational Therapy,555,567,2020
GY503,Speech and Language Therapy,543,554,2020
GY504,Podiatric Medicine,443,476,2020
GY515,General Nursing (Galway and Portiuncula),473,496,2020
GY516,Mental Health Nursing,440,467,2020
GY517,Midwifery,495,518,2020
ID001,Accounting and Finance,203,253,2020
ID002,Business Studies,294,309,2020
LC110,"Art and Design (Common Entry, portfolio)",740,961,2020
LC114,Fashion and Textiles for Product and Costume (portfolio),880,1029,2020
LC115,Art and Design Teacher Education (portfolio),942,1013,2020
LC220,Digital Marketing,262,298,2020
LC223,Law and Taxation,307,356,2020
LC224,Accounting and Finance,300,371,2020
LC225,Marketing and Management,298,358,2020
LC226,Enterprise and Innovation,234,310,2020
LC233,Software Development,272,339,2020
LC234,Interactive Digital Media,225,307,2020
LC236,Internet Systems Development,260,272,2020
LC239,Computer Networks and Systems Management,309,371,2020
LC241,Construction Management,255,338,2020
LC242,Property Valuation and Management,282,320,2020
LC243,Quantity Surveying,298,362,2020
LC248,Built Environment (Common Entry),288,376,2020
LC252,Civil Engineering Management,270,308,2020
