Code,Title,Points1,Points2,Mid-point,Year
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,,1021,2019
CR126,Popular Music: Drums at CIT Cork School of Music,801,,940,2020
CR126,Popular Music: Drums at CIT Cork School of Music,878,,1043,2019
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768,978,2020
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,,761,2019
CR128,Popular Music: Keyboards at CIT Cork School of Music,839,,1009,2019
CR128,Popular Music: Keyboards at CIT Cork School of Music,840,,881,2020
CR129,Popular Music: Voice at CIT Cork School of Music,841,,966,2020
CR129,Popular Music: Voice at CIT Cork School of Music,857,,927,2019
CR130,Musical Theatre at CIT Cork School of Music,548,518,600,2020
CR130,Musical Theatre at CIT Cork School of Music,525,,600,2021
CR130,Musical Theatre,500,,600,2019
CR150,Business Information Systems,335,,391,2020
CR150,Business Information Systems,350,,409,2021
CR150,Business Information Systems,326,,371,2019
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,,979,2019
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",450,,450,2021
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,,,2020
CR220,Fine Art at CIT Crawford College of Art and Design,,,,2020
CR220,Fine Art at CIT Crawford College of Art and Design,620,,819,2019
CR220,Fine Art at CIT Crawford College of Art and Design,400,,400,2021
CR225,Photography with New Media at CIT Crawford College of Art and Design,435,,560,2021
CR225,Photography with New Media,920,,920,2019
CR225,Photography with New Media,,,,2020
CR305,Physical Sciences (Common Entry),260,,357,2021
CR305,Physical Sciences (Common Entry),282,,356,2020
CR305,Physical Sciences (Common Entry),279,,309,2019
CR310,IT Management,347,,372,2021
CR310,IT Management,282,,317,2019
CR310,IT Management,297,,339,2020
CR320,Biomedical Science - Offered jointly by CIT and UCC,590,,601,2021
CR320,Biomedical Science (Offered jointly by CIT and UCC),546,,556,2019
CR320,Biomedical Science - Offered jointly by CIT and UCC,565,,577,2020
CR325,Pharmaceutical Biotechnology,466,,488,2021
CR325,Pharmaceutical Biotechnology,388,,422,2019
CR325,Pharmaceutical Biotechnology,398,,440,2020
CR333,Nutrition and Health Science,402,,433,2020
CR333,Nutrition and Health Science,425,,455,2021
CR333,Nutrition and Health Science,360,,393,2019
CR335,Biological Sciences (Common Entry),420,,451,2020
CR335,Biological Sciences (Common Entry),473,,507,2021
CR335,Biological Sciences (Common Entry),381,,419,2019
CR340,Analytical Chemistry with Quality Assurance,327,,400,2021
CR340,Analytical Chemistry with Quality Assurance,251,,366,2020
CR340,Analytical Chemistry with Quality Assurance,288,,315,2019
CR360,Instrument Engineering,261,,388,2020
CR360,Instrument Engineering,291,,329,2019
CR360,Instrument Engineering,301,,378,2021
CR365,Environmental Science and Sustainable Technology,253,,341,2020
CR365,Environmental Science and Sustainable Technology,334,,362,2019
CR365,Environmental Science and Sustainable Technology,262,,347,2021
CR370,Agri-Biosciences,397,,453,2020
CR370,Agri-Biosciences,368,,423,2021
CR370,Agri-Biosciences,408,,431,2019
CR400,Accounting,316,,389,2019
CR400,Accounting,316,,413,2020
CR400,Accounting,315,,423,2021
CR420,Marketing,290,,357,2021
CR420,Marketing,285,,346,2020
CR420,Marketing,288,,329,2019
CR425,International Business with Language,279,,419,2021
CR425,International Business with Language,298,,412,2020
CR425,International Business with Language,300,,392,2019
CR430,Sport and Exercise Management,402,,434,2021
CR430,Sport and Exercise Management,322,,407,2020
CR440,Montessori Education,409,408,431,2021
CR440,Montessori Education,288,,362,2020
CR500,Engineering (Common Entry),411,,465,2020
CR500,Engineering (Common Entry),381,,424,2019
CR500,Engineering (Common Entry),475,,499,2021
CR510,Sustainable Energy Engineering,320,,393,2021
CR510,Sustainable Energy Engineering,320,,389,2020
CR510,Sustainable Energy Engineering,319,,343,2019
CR520,Biomedical Engineering,444,,498,2021
CR520,Biomedical Engineering,444,,488,2020
CR520,Biomedical Engineering,434,,477,2019
CR560,Architectural Technology,375,,436,2021
CR560,Architectural Technology,308,,377,2020
CR560,Architectural Technology,288,,332,2019
CR565,Interior Architecture,336,,390,2019
CR565,Interior Architecture,431,,465,2021
CR565,Interior Architecture,359,,423,2020
CR570,Quantity Surveying,375,,429,2021
CR570,Quantity Surveying,279,,342,2019
CR570,Quantity Surveying,336,,392,2020
CR572,Construction Management,253,,300,2019
CR572,Construction Management,300,,349,2021
CR572,Construction Management,269,,318,2020
CR580,Electrical Engineering,342,,401,2021
CR580,Electrical Engineering,318,,377,2020
CR580,Electrical Engineering,344,,374,2019
CR590,Electronic Engineering,342,,411,2019
CR590,Electronic Engineering,329,,409,2021
CR590,Electronic Engineering,303,,379,2020
CR600,Visual Communications,,,,2020
CR600,Visual Communications,587,,888,2019
CR600,Visual Communications at CIT Crawford College of Art and Design,280,,510,2021
CR660,Tourism Management,249,,290,2019
CR660,Tourism Management,252,,325,2020
CR660,Tourism Management,246,,328,2021
CR700,Theatre and Drama Studies at CIT Cork School of Music,768,,906,2019
