Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Science Education,424,476,435,487,462   ,
Athletic Therapy and Training                      ,484,500,519,533,558   ,
Physical Education with Biology                    ,490,521,531,553,565   ,
Physical Education with Mathematics,443,476,499,520,521   ,
Psychology and Mathematics                         ,,,,,521   ,
Psychology                                         ,509,521,521,533,565   ,
Health and Society,419,440,440,466,477   ,
Psychology and Disruptive Technologies             ,,,,,506   ,
General Nursing,414,443,433,462,456  ,
Mental Health Nursing                              ,368,389,403,424,420   ,
Intellectual Disability Nursing,347,362,370,390,382   ,
Children`s and General Nursing (Integrated),467,480,498,522,521  ,
"Economics, Politics and Law",400,431,435,462,431   ,
International Relations,387,445,397,433,398   ,
Law and Society (BCL),453,487,466,496,469   ,
Education and Training - Daytime Delivery Mode (full-time),307,327,309,357,302   ,
Social Sciences and Cultural Innovation,358,388,377,411,387   ,
"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,473,,
"Marketing, Innovation and Technology",451,474,474,498,499   ,
Digital Business and Innovation                    ,,,,,509   ,
Arts (Joint Honours) - Media Studies,349,392,376,409,350   ,
Arts (Joint Honours) - Law,356,388,403,430,400   ,
Arts (Joint Honours) - International Languages     ,369,400,377,466,379   ,
Climate and Environmental Sustainability           ,,,,,475   ,
Arts (Joint Honours) - Politics,348,387,376,409,349   ,
Accounting and Finance,306,391,305,401,307   ,307
Business Studies                                   ,300,357,300,367,301   ,301
Computing in Games Development,307,369,311,348,309   ,309
Computing in Software Development                  ,301,347,302,361,320   ,316
Augmented and Virtual Reality,,,304,380,320   ,320
Building Surveying                                 ,302,349,336,352,305   ,
Architectural Technology                           ,301,366,389,433,368   ,314
Construction Management,300,329,387,419,358   ,305
Engineering (Common Entry)                         ,303,402,340,439,404   ,391
Mechanical Engineering                             ,,,305,448,336   ,336
Electrical and Electronic Engineering              ,,,304,392,331   ,331
Civil Engineering                                  ,,,361,392,371   ,371
International Tourism Management,,,317,377,303   ,303
Music,499,649,503,634,,
