Code,Title,Points1,Mid,Year
DT597,Creative and Cultural Industries,280,369,2019
DL821,"English, Media and Cultural Studies",211,317,2019
DL822,Arts Management,209,319,2019
DL823,Business Studies - Entrepreneurship and Management,260,316,2019
DL825,Applied Psychology,349,413,2019
DL826,Visual Communication Design,736,989,2019
DL827,Art,583,902,2019
DL828,"3D Design, Modelmaking and Digital Art",691,866,2019
DL829,Design for Stage and Screen (Costume Design),817,1021,2019
DL830,Design for Stage and Screen (Makeup Design),879,953,2019
DL831,Design for Stage and Screen (Production Design),893,1073,2019
DL832,Animation,855,1055,2019
DL833,Photography,636,791,2019
DL834,Film and Television Production,933,1011,2019
DL835,Creative Media Technologies,237,289,2019
DL836,Creative Computing,217,326,2019
DL837,New Media Studies,290,349,2019
DL838,Creative Music Production,746,873,2019
GC200,Business Studies (Cork),269,359,2019
GC201,Accounting and Finance (Cork),251,388,2019
GC230,Computing Science (Cork),228,327,2019
GC300,Business Studies (Limerick),251,302,2019
GC301,Accounting and Finance,307,314,2019
GC302,"Business Studies - (HRM, Limerick)",269,269,2019
GC305,International Hospitality Management (Limerick),327,327,2019
GC400,Business Studies (Dublin),246,297,2019
GC401,Accounting and Finance (Dublin),181,309,2019
GC402,"Business Studies (HRM, Dublin)",217,290,2019
GC403,Law (Dublin),225,308,2019
GC405,International Hospitality Management (Dublin),254,272,2019
GC407,"Business Studies (Marketing, Dublin)",246,330,2019
GC430,Computing Science (Dublin),217,269,2019
GC450,Journalism and Visual Media (Dublin),227,307,2019
GC462,Design Communication (Dublin),,,2019
GC489,Interior Architecture (Dublin),267,361,2019
GC494,Fashion Design (Dublin),,,2019
ID001,Accounting and Finance,229,291,2019
ID002,Business Studies,285,366,2019
ID003,Business Studies with Chinese,,,2019
BN101,Business,252,289,2019
BN103,Business and Information Technology,254,290,2019
BN104,Computing (Information Technology),260,293,2019
BN107,Applied Social Studies in Social Care,300,328,2019
BN108,Engineering (Common Entry with Award options),271,318,2019
